,gameid,league,year,split,playoffs,date,patch,participantid,side,position,playername,playerid,teamname,gamelength,result,totalgold,ELO,opp_participantid,opp_side,opp_position,opp_playername,opp_playerid,opp_teamname,opp_result,opp_totalgold,opp_ELO,golddiff
3197,ESPORTSTMNT05/1430381,LEC,2020,Spring,1,2020-04-03 17:02:16,10.06,8,Red,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions,2459,1,14653.273688491257,1000,3,Blue,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,0,11714.274095160634,1000,2938.9995933306236
3198,ESPORTSTMNT05/1430381,LEC,2020,Spring,1,2020-04-03 17:02:16,10.06,9,Red,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions,2459,1,14215.534770231801,1000,4,Blue,bot,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,0,13837.088247254982,1000,378.4465229768193
3199,ESPORTSTMNT05/1430381,LEC,2020,Spring,1,2020-04-03 17:02:16,10.06,10,Red,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions,2459,1,7709.475396502644,1000,5,Blue,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,0,6578.527856852379,1000,1130.9475396502648
3200,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,1,Blue,top,Orome,oe:player:c96f08769340eec7fdf7ee5c193a81a,MAD Lions,1529,0,12177.37083060824,1000,6,Red,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,1,10349.11706998038,1000,1828.2537606278602
3201,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,2,Blue,jng,shad0w,oe:player:c332dc879e14f1feb266190c7f396fd,MAD Lions,1529,0,10774.100719424461,1000,7,Red,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,1,9898.23413996076,1000,875.8665794637018
3202,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,3,Blue,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions,1529,0,10639.895356442119,1000,8,Red,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,1,15623.152387181164,1000,-4983.257030739045
3203,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,4,Blue,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions,1529,0,11275.604970569,1000,9,Red,bot,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,1,12492.87115761936,1000,-1217.2661870503598
3204,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,5,Blue,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions,1529,0,7201.177240026162,1000,10,Red,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,1,8378.41726618705,1000,-1177.240026160889
3205,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,6,Red,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,1529,1,10349.11706998038,1000,1,Blue,top,Orome,oe:player:c96f08769340eec7fdf7ee5c193a81a,MAD Lions,0,12177.37083060824,1000,-1828.2537606278602
3206,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,7,Red,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,1529,1,9898.23413996076,1000,2,Blue,jng,shad0w,oe:player:c332dc879e14f1feb266190c7f396fd,MAD Lions,0,10774.100719424461,1000,-875.8665794637018
3207,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,8,Red,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,1529,1,15623.152387181164,1000,3,Blue,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions,0,10639.895356442119,1000,4983.257030739045
3208,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,9,Red,bot,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,1529,1,12492.87115761936,1000,4,Blue,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions,0,11275.604970569,1000,1217.2661870503598
3209,ESPORTSTMNT05/1430382,LEC,2020,Spring,1,2020-04-03 17:55:29,10.06,10,Red,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,1529,1,8378.41726618705,1000,5,Blue,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions,0,7201.177240026162,1000,1177.240026160889
3210,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,1,Blue,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,2334,0,12594.601542416453,1000,6,Red,top,Orome,oe:player:c96f08769340eec7fdf7ee5c193a81a,MAD Lions,1,10725.192802056556,1000,1869.408740359897
3211,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,2334,0,8542.6735218509,1000,7,Red,jng,shad0w,oe:player:c332dc879e14f1feb266190c7f396fd,MAD Lions,1,13973.521850899742,1000,-5430.848329048842
3212,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,3,Blue,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,2334,0,8847.300771208225,1000,8,Red,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions,1,14230.334190231362,1000,-5383.033419023137
3213,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,4,Blue,bot,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,2334,0,12064.01028277635,1000,9,Red,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions,1,12945.501285347045,1000,-881.4910025706959
3214,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,5,Blue,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,2334,0,6862.2107969151675,1000,10,Red,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions,1,8172.493573264781,1000,-1310.2827763496134
3215,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,6,Red,top,Orome,oe:player:c96f08769340eec7fdf7ee5c193a81a,MAD Lions,2334,1,10725.192802056556,1000,1,Blue,top,Wunder,oe:player:d11068c782573b34be81beb5a4eeb12,G2 Esports,0,12594.601542416453,1000,-1869.408740359897
3216,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,7,Red,jng,shad0w,oe:player:c332dc879e14f1feb266190c7f396fd,MAD Lions,2334,1,13973.521850899742,1000,2,Blue,jng,Jankos,oe:player:a2f6e754fc2b358f7786f52decb4274,G2 Esports,0,8542.6735218509,1000,5430.848329048842
3217,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,8,Red,mid,Humanoid,oe:player:edf8b064c096691e539b7e2a3e28179,MAD Lions,2334,1,14230.334190231362,1000,3,Blue,mid,Perkz,oe:player:0634d9e86284da2fae4e1438d564eee,G2 Esports,0,8847.300771208225,1000,5383.033419023137
3218,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,9,Red,bot,Carzzy,oe:player:ec0c2b8d7630efba391c288765d4d7e,MAD Lions,2334,1,12945.501285347045,1000,4,Blue,bot,Caps,oe:player:55dd587cdc4a278be6a5c37f9e539de,G2 Esports,0,12064.01028277635,1000,881.4910025706959
3219,ESPORTSTMNT05/1440415,LEC,2020,Spring,1,2020-04-03 19:31:57,10.06,10,Red,sup,Kaiser,oe:player:ec0971fb900874b1c59179d9cd33687,MAD Lions,2334,1,8172.493573264781,1000,5,Blue,sup,Mikyx,oe:player:9d5052e9f9f4a63835f738441a3b1f6,G2 Esports,0,6862.2107969151675,1000,1310.2827763496134
3220,ESPORTSTMNT05/1440444,LEC,2020,Spring,1,2020-04-04 14:17:07,10.06,1,Blue,top,Bwipo,oe:player:7e2505960c12cc54c96a0a6efb2e055,Fnatic,1659,1,11277.39602169982,1000,6,Red,top,Alphari,oe:player:9492b0cfd4d97adce92527c34db72ee,Origen,0,10393.128390596745,1000,884.2676311030755
